title,platform,genre,curated_vibe,rawg_slug,curated_desc
Final Fantasy X,ps2,JRPG,essential,final-fantasy-x,"One of the most beloved JRPGs ever. Incredible story, memorable characters, and deep turn-based combat."
Final Fantasy XII,ps2,JRPG,essential,final-fantasy-xii,"Strategic, MMO-inspired combat with the Gambit system. A more mature, political story set in Ivalice."
Kingdom Hearts,ps2,Action RPG,essential,kingdom-hearts,"Disney meets Final Fantasy. Charming crossover with surprisingly deep action combat."
Kingdom Hearts II,ps2,Action RPG,essential,kingdom-hearts-ii,"Refines everything from the first. Some of the best action combat on PS2."
Metal Gear Solid 2: Sons of Liberty,ps2,Stealth,essential,metal-gear-solid-2-sons-of-liberty,"Postmodern stealth masterpiece. Controversial at launch, now considered ahead of its time."
Metal Gear Solid 3: Snake Eater,ps2,Stealth,essential,metal-gear-solid-3-snake-eater,"Often called the best in the series. Cold War jungle stealth with incredible boss fights."
Shadow of the Colossus,ps2,Action Adventure,essential,shadow-of-the-colossus,"Nothing but massive boss fights in a hauntingly empty world. A genuine work of art."
ICO,ps2,Puzzle Adventure,essential,ico,"Minimalist escort puzzle game. Atmospheric, haunting, and unforgettable."
Devil May Cry 3: Dante's Awakening,ps2,Action,essential,devil-may-cry-3,"The blueprint for stylish action games. Tight combat, style switching, brutal difficulty."
Ratchet & Clank,ps2,Platformer,essential,ratchet-clank-ps2,"Platforming with absurdly creative weapons. The trilogy starter."
Ratchet & Clank: Going Commando,ps2,Platformer,essential,ratchet-clank-going-commando,"Bigger, better, more weapons. Peak PS2 platforming."
Ratchet & Clank: Up Your Arsenal,ps2,Platformer,essential,ratchet-clank-up-your-arsenal,"Perfected the formula with online multiplayer."
Jak and Daxter: The Precursor Legacy,ps2,Platformer,essential,jak-and-daxter-the-precursor-legacy,"Bright, colourful collectathon platformer from Naughty Dog."
Jak II,ps2,Platformer,essential,jak-ii,"Darker, open-world sequel with guns and hover vehicles."
Jak 3,ps2,Platformer,essential,jak-3,"Desert wasteland setting, refined combat, satisfying conclusion."
Sly Cooper and the Thievius Raccoonus,ps2,Platformer,essential,sly-cooper-and-the-thievius-raccoonus,"Stealth platforming with cel-shaded style and great characters."
Sly 2: Band of Thieves,ps2,Platformer,essential,sly-2-band-of-thieves,"Open hub worlds and multiple playable characters."
Sly 3: Honor Among Thieves,ps2,Platformer,essential,sly-3-honor-among-thieves,"Biggest roster of playable characters, heist missions."
God of War,ps2,Action,essential,god-of-war-2005,"Brutal, cinematic Greek mythology action. Massive set pieces."
God of War II,ps2,Action,essential,god-of-war-ii,"Bigger, more epic sequel. One of the best PS2 games full stop."
Burnout 3: Takedown,ps2,Racing,essential,burnout-3-takedown,"Arguably the best arcade racer ever made. Crashes are half the fun."
SSX 3,ps2,Sports,essential,ssx-3,"Open mountain snowboarding with incredible flow and a killer soundtrack."
Grand Theft Auto: San Andreas,ps2,Open World,essential,grand-theft-auto-san-andreas,"Massive open world across three cities. RPG elements and endless content."
Resident Evil 4,ps2,Action Horror,essential,resident-evil-4-2005,"Redefined third-person action. Tense, replayable, and endlessly influential."
Silent Hill 2,ps2,Horror,essential,silent-hill-2,"Psychological horror at its absolute peak. The story will stay with you."
Silent Hill 3,ps2,Horror,essential,silent-hill-3,"More visceral than SH2 with stunning visuals. Direct sequel to SH1."
Persona 3 FES,ps2,JRPG,essential,shin-megami-tensei-persona-3-fes,"JRPG meets life sim. Dark themes, incredible music, deep social links."
Persona 4,ps2,JRPG,essential,shin-megami-tensei-persona-4,"Murder mystery meets high school sim. Warmer tone, equally addictive."
Dragon Quest VIII,ps2,JRPG,essential,dragon-quest-viii-journey-of-the-cursed-king,"Classic JRPG comfort food with gorgeous cel-shaded visuals."
Shin Megami Tensei: Nocturne,ps2,JRPG,hidden_gem,shin-megami-tensei-iii-nocturne,"Brutally atmospheric demon-collecting RPG. Post-apocalyptic Tokyo."
Yakuza,ps2,Action Adventure,hidden_gem,yakuza,"Where the series started. Rough but fascinating crime drama."
Yakuza 2,ps2,Action Adventure,hidden_gem,yakuza-2,"Bigger, better sequel. Kamurocho and Sotenbori."
Radiata Stories,ps2,Action RPG,hidden_gem,radiata-stories,"Almost every NPC can join your party. Branching paths and charm."
God Hand,ps2,Beat-em-up,hidden_gem,god-hand,"Clover Studio's last game. Absurd, punishing cult classic."
Odin Sphere,ps2,Action RPG,hidden_gem,odin-sphere,"Gorgeous Vanillaware 2D action RPG with interwoven stories."
Dark Cloud 2,ps2,Action RPG,hidden_gem,dark-cloud-2,"Dungeon crawling meets city building meets golf. Genuinely unique."
The Legend of Zelda: The Wind Waker,gc,Action Adventure,essential,the-legend-of-zelda-the-wind-waker,"Cel-shaded Zelda that aged better than anything from its era."
The Legend of Zelda: Twilight Princess,gc,Action Adventure,essential,the-legend-of-zelda-twilight-princess,"Darker, more traditional Zelda. Epic dungeons and wolf transformation."
Metroid Prime,gc,FPS Adventure,essential,metroid-prime,"First-person exploration masterpiece. Atmosphere through the visor."
Metroid Prime 2: Echoes,gc,FPS Adventure,essential,metroid-prime-2-echoes,"Darker sequel with light/dark world mechanic. Underrated."
Super Smash Bros. Melee,gc,Fighting,essential,super-smash-bros-melee,"Still played competitively 20+ years later."
Resident Evil,gc,Horror,essential,resident-evil,"Gold standard of survival horror remakes."
Paper Mario: The Thousand-Year Door,gc,RPG,essential,paper-mario-the-thousand-year-door,"Funny, creative turn-based RPG. One of Nintendo's absolute best."
F-Zero GX,gc,Racing,essential,f-zero-gx,"Blindingly fast futuristic racing. Brutal difficulty, incredible spectacle."
Super Mario Sunshine,gc,Platformer,essential,super-mario-sunshine,"Tropical Mario with FLUDD water pack. Divisive but charming."
Luigi's Mansion,gc,Action Adventure,essential,luigis-mansion,"Ghost-hunting with a vacuum. Cozy and atmospheric."
Star Wars Rogue Squadron II: Rogue Leader,gc,Flight Action,essential,star-wars-rogue-squadron-ii-rogue-leader,"Stunning arcadey Star Wars flight combat."
Eternal Darkness: Sanity's Requiem,gc,Horror,essential,eternal-darkness-sanitys-requiem,"Sanity effects break the fourth wall in wild ways."
Tales of Symphonia,gc,JRPG,essential,tales-of-symphonia,"Great entry to the Tales series with real-time combat."
Fire Emblem: Path of Radiance,gc,Tactical RPG,essential,fire-emblem-path-of-radiance,"One of the best in the series. Permanent death stakes."
Animal Crossing,gc,Life Sim,essential,animal-crossing,"The one that started it all in the West."
Baten Kaitos: Eternal Wings and the Lost Ocean,gc,JRPG,hidden_gem,baten-kaitos-eternal-wings-and-the-lost-ocean,"Card-based combat with stunning pre-rendered backgrounds."
Chibi-Robo!,gc,Adventure,hidden_gem,chibi-robo,"Tiny robot doing chores. Sounds boring, is incredible."
Skies of Arcadia Legends,gc,JRPG,hidden_gem,skies-of-arcadia-legends,"Air pirate JRPG with ship battles. One of the best of its era."
Custom Robo,gc,Arena Fighter,hidden_gem,custom-robo,"Deep mech customisation with addictive arena battles."
Gotcha Force,gc,Arena Fighter,hidden_gem,gotcha-force,"Toy battler that's perfect for emulation. Wild, chaotic fun."
Final Fantasy VII,ps1,JRPG,essential,final-fantasy-vii,"The RPG that changed everything. Iconic characters and that twist."
Final Fantasy IX,ps1,JRPG,essential,final-fantasy-ix,"A love letter to classic FF. Charming, beautiful, deeply emotional."
Final Fantasy Tactics,ps1,Tactical RPG,essential,final-fantasy-tactics,"Deep political story with incredible tactical combat."
Metal Gear Solid,ps1,Stealth,essential,metal-gear-solid,"Cinematic stealth action that redefined storytelling in games."
Castlevania: Symphony of the Night,ps1,Action Platformer,essential,castlevania-symphony-of-the-night,"Defined the Metroidvania genre. Exploration and RPG depth."
Chrono Cross,ps1,JRPG,essential,chrono-cross,"Parallel worlds, 40+ characters, one of the best soundtracks ever."
Resident Evil 2,ps1,Horror,essential,resident-evil-2,"Survival horror perfection. Two characters, four scenarios."
Silent Hill,ps1,Horror,essential,silent-hill,"Fog-drenched psychological horror. Atmosphere is unmatched."
Spyro the Dragon,ps1,Platformer,essential,spyro-the-dragon,"Colourful, relaxing collectathon. Perfect handheld game."
Spyro 2: Ripto's Rage,ps1,Platformer,essential,spyro-2-riptos-rage,"Refined everything. More abilities, better worlds."
Spyro: Year of the Dragon,ps1,Platformer,essential,spyro-year-of-the-dragon,"Most content, most variety. Great finale."
Crash Bandicoot: Warped,ps1,Platformer,essential,crash-bandicoot-warped,"The sweet spot of the trilogy. Tight, challenging platforming."
Tekken 3,ps1,Fighting,essential,tekken-3,"One of the greatest fighting games ever made."
Tony Hawk's Pro Skater 2,ps1,Sports,essential,tony-hawks-pro-skater-2,"Perfect arcade skating. Legendary level design and soundtrack."
Xenogears,ps1,JRPG,essential,xenogears,"Mechs, philosophy, religion. Unfinished but unforgettable."
Suikoden II,ps1,JRPG,essential,suikoden-ii,"108 recruitable characters and one of the best villain arcs in RPGs."
Vagrant Story,ps1,Action RPG,hidden_gem,vagrant-story,"Matsuno's masterpiece. Dense combat and extraordinary writing."
Threads of Fate,ps1,Action RPG,hidden_gem,threads-of-fate,"Two characters, two totally different stories. Charming."
Legend of Mana,ps1,Action RPG,hidden_gem,legend-of-mana,"Watercolour art with freeform world-building. Beautiful and strange."
Brave Fencer Musashi,ps1,Action RPG,hidden_gem,brave-fencer-musashi,"Quirky action adventure with time mechanics. Loads of personality."
Parasite Eve,ps1,Action RPG,hidden_gem,parasite-eve,"Survival horror meets RPG in Manhattan. Short, stylish, unique."
Klonoa: Door to Phantomile,ps1,Platformer,hidden_gem,klonoa-door-to-phantomile,"2.5D platformer with incredible design and a gut-punch ending."
The Legend of Zelda: Ocarina of Time,n64,Action Adventure,essential,the-legend-of-zelda-ocarina-of-time,"Regularly cited as the greatest game ever made."
The Legend of Zelda: Majora's Mask,n64,Action Adventure,essential,the-legend-of-zelda-majoras-mask,"Darker, weirder Zelda with a 3-day time loop."
Super Mario 64,n64,Platformer,essential,super-mario-64,"Invented 3D platforming. Still a joy to play."
Banjo-Kazooie,n64,Platformer,essential,banjo-kazooie,"Rare's collectathon masterpiece. Witty and wonderful."
Banjo-Tooie,n64,Platformer,essential,banjo-tooie,"Bigger, more ambitious sequel with interconnected worlds."
Paper Mario,n64,RPG,essential,paper-mario,"Charming, accessible RPG with paper art style."
Star Fox 64,n64,Rail Shooter,essential,star-fox-64,"Arcadey space combat with branching paths. Endlessly replayable."
GoldenEye 007,n64,FPS,essential,goldeneye-007,"Defined console FPS multiplayer. Single-player holds up."
Perfect Dark,n64,FPS,essential,perfect-dark,"GoldenEye's successor with more features and sci-fi flair."
F-Zero X,n64,Racing,essential,f-zero-x,"30 racers at 60fps. Blazing fast, incredibly tight."
Mario Kart 64,n64,Racing,essential,mario-kart-64,"The definitive kart racer of the era."
Donkey Kong 64,n64,Platformer,essential,donkey-kong-64,"Massive collectathon. Overwhelming but satisfying."
Mischief Makers,n64,Platformer,hidden_gem,mischief-makers,"Shake shake! 2D Treasure platformer, weird and wonderful."
Mystical Ninja Starring Goemon,n64,Action Adventure,hidden_gem,mystical-ninja-starring-goemon,"Giant robot battles and pure Japanese absurdity."
Sin and Punishment,n64,Rail Shooter,hidden_gem,sin-and-punishment,"Treasure's intense on-rails shooter. Japan-only, no Japanese needed."
Blast Corps,n64,Action Puzzle,hidden_gem,blast-corps,"Destroy buildings for a nuclear missile carrier. Unique and addictive."
Chrono Trigger,snes,JRPG,essential,chrono-trigger,"Often called the greatest RPG ever. Time travel, zero filler."
Final Fantasy VI,snes,JRPG,essential,final-fantasy-vi,"Ensemble cast, opera scene, Kefka. Peak 2D Final Fantasy."
Super Metroid,snes,Action Platformer,essential,super-metroid,"Atmospheric exploration perfection. Gold standard of the genre."
The Legend of Zelda: A Link to the Past,snes,Action Adventure,essential,the-legend-of-zelda-a-link-to-the-past,"The template for top-down Zelda. Light/dark world brilliance."
Super Mario World,snes,Platformer,essential,super-mario-world,"Arguably the best 2D platformer ever made."
Earthbound,snes,JRPG,essential,earthbound,"Quirky modern-day RPG. Funny, weird, surprisingly dark."
Secret of Mana,snes,Action RPG,essential,secret-of-mana,"Co-op action RPG with gorgeous sprites."
Super Mario RPG,snes,RPG,essential,super-mario-rpg-legend-of-the-seven-stars,"Mario meets Square. Led to Paper Mario and Mario & Luigi."
Donkey Kong Country 2: Diddy's Kong Quest,snes,Platformer,essential,donkey-kong-country-2-diddys-kong-quest,"Peak DKC. Incredible level design and music."
Mega Man X,snes,Action Platformer,essential,mega-man-x,"Tighter, faster Mega Man with wall jumps and upgrades."
Tactics Ogre: Let Us Cling Together,snes,Tactical RPG,hidden_gem,tactics-ogre-let-us-cling-together,"Deep tactical RPG with branching story. Influenced everything after."
Treasure Hunter G,snes,Tactical RPG,hidden_gem,treasure-hunter-g,"Square tactical RPG (fan translation). Beautiful sprites, unique grid combat."
Terranigma,snes,Action RPG,hidden_gem,terranigma,"You rebuild civilisation. Ambitious and never released in NA."
Streets of Rage 2,genesis,Beat-em-up,essential,streets-of-rage-2,"Best beat-em-up of the 16-bit era. Incredible soundtrack."
Sonic the Hedgehog 2,genesis,Platformer,essential,sonic-the-hedgehog-2,"Sonic at his peak. Speed, great level design, iconic zones."
Sonic 3 & Knuckles,genesis,Platformer,essential,sonic-the-hedgehog-3,"The complete Sonic experience. Massive, polished, perfect."
Gunstar Heroes,genesis,Run and Gun,hidden_gem,gunstar-heroes,"Treasure's non-stop action masterpiece. Creative bosses throughout."
